chrm	start	end	strand	geneName
chrI	65778	67520	C	ID=YAL040C|Name=YAL040C|gene=CLN3
chrI	68716	69525	C	ID=YAL039C|Name=YAL039C|gene=CYC3
chrI	71786	73288	W	ID=YAL038W|Name=YAL038W|gene=CDC19
chrI	72326	73300	C	ID=YAL037C-B|Name=YAL037C-B|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	73426	73518	C	ID=YAL037C-A|Name=YAL037C-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	74020	74823	W	ID=YAL037W|Name=YAL037W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	75043	76152	C	ID=YAL036C|Name=YAL036C|gene=RBG1
chrI	76427	79435	W	ID=YAL035W|Name=YAL035W|gene=FUN12
chrI	79489	79842	C	ID=YAL034C-B|Name=YAL034C-B|Alias=YAL035C-A
chrI	79718	80587	W	ID=YAL034W-A|Name=YAL034W-A|gene=MTW1
chrI	80710	81951	C	ID=YAL034C|Name=YAL034C|gene=FUN19
chrI	82706	83227	W	ID=YAL033W|Name=YAL033W|gene=POP5
chrI	83335	84474	C	ID=YAL032C|Name=YAL032C|gene=PRP45
chrI	84669	84977	W	ID=YAL031W-A|Name=YAL031W-A|Ontology_term=GO:0003674,GO:0008150,GO:0016021
chrI	84749	87031	C	ID=YAL031C|Name=YAL031C|gene=GIP4
chrI	87286	87752	W	ID=YAL030W|Name=YAL030W|gene=SNC1
chrI	87855	92270	C	ID=YAL029C|Name=YAL029C|gene=MYO4
chrI	92900	94486	W	ID=YAL028W|Name=YAL028W|gene=FRT2
chrI	94687	95472	W	ID=YAL027W|Name=YAL027W|gene=SAW1
chrI	95386	95823	C	ID=YAL026C-A|Name=YAL026C-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	95630	99697	C	ID=YAL026C|Name=YAL026C|gene=DRS2
chrI	100225	101145	C	ID=YAL025C|Name=YAL025C|gene=MAK16
chrI	101565	105872	C	ID=YAL024C|Name=YAL024C|gene=LTE1
chrI	106272	108551	C	ID=YAL023C|Name=YAL023C|gene=PMT2
chrI	108877	110430	C	ID=YAL022C|Name=YAL022C|gene=FUN26
chrI	110846	113359	C	ID=YAL021C|Name=YAL021C|gene=CCR4
chrI	113614	114615	C	ID=YAL020C|Name=YAL020C|gene=ATS1
chrI	114250	114819	W	ID=YAL019W-A|Name=YAL019W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	114919	118314	W	ID=YAL019W|Name=YAL019W|gene=FUN30
chrI	118564	119541	C	ID=YAL018C|Name=YAL018C|Ontology_term=GO:0003674,GO:0008150,GO:0016021
chrI	120225	124295	W	ID=YAL017W|Name=YAL017W|gene=PSK1
chrI	124307	124492	C	ID=YAL016C-B|Name=YAL016C-B|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	124755	125069	C	ID=YAL016C-A|Name=YAL016C-A|Ontology_term=GO:0003674,GO:0008150,GO:0016021
chrI	124879	126786	W	ID=YAL016W|Name=YAL016W|gene=TPD3
chrI	126903	128102	C	ID=YAL015C|Name=YAL015C|gene=NTG1
chrI	128252	129019	C	ID=YAL014C|Name=YAL014C|gene=SYN8
chrI	129270	130487	W	ID=YAL013W|Name=YAL013W|gene=DEP1
chrI	130799	131983	W	ID=YAL012W|Name=YAL012W|gene=CYS3
chrI	132199	134076	W	ID=YAL011W|Name=YAL011W|gene=SWC3
chrI	134184	135665	C	ID=YAL010C|Name=YAL010C|gene=MDM10
chrI	135854	136633	W	ID=YAL009W|Name=YAL009W|gene=SPO7
chrI	136914	137510	W	ID=YAL008W|Name=YAL008W|gene=FUN14
chrI	137698	138345	C	ID=YAL007C|Name=YAL007C|gene=ERP2
chrI	139503	141431	C	ID=YAL005C|Name=YAL005C|gene=SSA1
chrI	140760	141407	W	ID=YAL004W|Name=YAL004W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	142174	143160	W	ID=YAL003W|Name=YAL003W|gene=EFB1
chrI	143707	147531	W	ID=YAL002W|Name=YAL002W|gene=VPS8
chrI	147594	151166	C	ID=YAL001C|Name=YAL001C|gene=TFC3
chrI	152257	153876	W	ID=YAR002W|Name=YAR002W|gene=NUP60
chrI	154065	154724	C	ID=YAR002C-A|Name=YAR002C-A|gene=ERP1
chrI	155005	156285	W	ID=YAR003W|Name=YAR003W|gene=SWD1
chrI	156754	158619	C	ID=YAR007C|Name=YAR007C|gene=RFA1
chrI	158966	159793	W	ID=YAR008W|Name=YAR008W|gene=SEN34
chrI	166742	168871	C	ID=YAR014C|Name=YAR014C|gene=BUD14
chrI	169375	170295	W	ID=YAR015W|Name=YAR015W|gene=ADE1
chrI	170396	171703	C	ID=YAR018C|Name=YAR018C|gene=KIN3
chrI	172211	175135	C	ID=YAR019C|Name=YAR019C|gene=CDC15
chrI	174998	175330	W	ID=YAR019W-A|Name=YAR019W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	176856	177023	C	ID=YAR020C|Name=YAR020C|gene=PAU7
chrI	179281	179820	C	ID=YAR023C|Name=YAR023C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	183770	184477	W	ID=YAR027W|Name=YAR027W|gene=UIP3
chrI	184892	185596	W	ID=YAR028W|Name=YAR028W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	186321	186545	W	ID=YAR029W|Name=YAR029W|Ontology_term=GO:0003674,GO:0005737,GO:0008150
chrI	186512	186853	C	ID=YAR030C|Name=YAR030C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	186836	187732	W	ID=YAR031W|Name=YAR031W|gene=PRM9
chrI	188107	188811	W	ID=YAR033W|Name=YAR033W|gene=MST28
chrI	190193	192256	W	ID=YAR035W|Name=YAR035W|gene=YAT1
chrI	192337	192417	C	ID=YAR035C-A|Name=YAR035C-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	192619	196185	W	ID=YAR042W|Name=YAR042W|gene=SWH1
chrI	201467	201787	C	ID=YAR047C|Name=YAR047C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	203403	208016	W	ID=YAR050W|Name=YAR050W|gene=FLO1
chrI	208367	208663	W	ID=YAR053W|Name=YAR053W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	217157	217492	C	ID=YAR060C|Name=YAR060C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	220198	220497	W	ID=YAR064W|Name=YAR064W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	221049	221660	W	ID=YAR066W|Name=YAR066W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	222406	222891	W	ID=YAR068W|Name=YAR068W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	224011	224304	C	ID=YAR069C|Name=YAR069C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	224563	224862	C	ID=YAR070C|Name=YAR070C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrI	225460	226863	W	ID=YAR071W|Name=YAR071W|gene=PHO11
chrI	227742	228953	W	ID=YAR073W|Name=YAR073W|gene=IMD1
chrI	228844	229317	W	ID=YAR075W|Name=YAR075W|Ontology_term=GO:0003674,GO:0003938,GO:0005575,GO:0008150
chrII	280	2658	C	ID=YBL113C|Name=YBL113C|Ontology_term=GO:0004386,GO:0005575,GO:0008150
chrII	646	1128	W	ID=YBL113W-A|Name=YBL113W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	2582	2899	C	ID=YBL112C|Name=YBL112C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	2907	5009	C	ID=YBL111C|Name=YBL111C|Ontology_term=GO:0003674,GO:0005739,GO:0008150
chrII	5790	6125	W	ID=YBL109W|Name=YBL109W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	7605	7733	C	ID=YBL108C-A|Name=YBL108C-A|gene=PAU9
chrII	8177	8482	W	ID=YBL108W|Name=YBL108W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	9268	9372	W	ID=YBL107W-A|Name=YBL107W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	9961	10551	C	ID=YBL107C|Name=YBL107C|gene=MIC23
chrII	10847	13879	C	ID=YBL106C|Name=YBL106C|gene=SRO77
chrII	14241	17696	C	ID=YBL105C|Name=YBL105C|gene=PKC1
chrII	18177	21293	C	ID=YBL104C|Name=YBL104C|gene=SEA4
chrII	22076	23536	C	ID=YBL103C|Name=YBL103C|gene=RTG3
chrII	24098	24745	W	ID=YBL102W|Name=YBL102W|gene=SFT2
chrII	24946	28299	C	ID=YBL101C|Name=YBL101C|gene=ECM21
chrII	28427	28546	W	ID=YBL100W-C|Name=YBL100W-C|Alias=YBL101W-C
chrII	36989	37303	C	ID=YBL100C|Name=YBL100C|Ontology_term=GO:0003674,GO:0005789,GO:0008150
chrII	37053	38690	W	ID=YBL099W|Name=YBL099W|gene=ATP1
chrII	39145	40527	W	ID=YBL098W|Name=YBL098W|gene=BNA4
chrII	40831	43095	W	ID=YBL097W|Name=YBL097W|gene=BRN1
chrII	43174	43482	C	ID=YBL096C|Name=YBL096C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	43277	44089	W	ID=YBL095W|Name=YBL095W|Ontology_term=GO:0003674,GO:0005739,GO:0008150
chrII	43765	44097	C	ID=YBL094C|Name=YBL094C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	44256	44918	C	ID=YBL093C|Name=YBL093C|gene=ROX3
chrII	45645	46370	W	ID=YBL092W|Name=YBL092W|gene=RPL32
chrII	46565	47180	C	ID=YBL091C-A|Name=YBL091C-A|gene=SCS22
chrII	47363	48628	C	ID=YBL091C|Name=YBL091C|gene=MAP2
chrII	48825	49358	W	ID=YBL090W|Name=YBL090W|gene=MRP21
chrII	49574	50953	W	ID=YBL089W|Name=YBL089W|gene=AVT5
chrII	51019	59382	C	ID=YBL088C|Name=YBL088C|gene=TEL1
chrII	59822	60739	C	ID=YBL087C|Name=YBL087C|gene=RPL23A
chrII	61202	62602	C	ID=YBL086C|Name=YBL086C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	63876	66818	W	ID=YBL085W|Name=YBL085W|gene=BOI1
chrII	67169	69445	C	ID=YBL084C|Name=YBL084C|gene=CDC27
chrII	69713	70138	C	ID=YBL083C|Name=YBL083C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	69751	71127	C	ID=YBL082C|Name=YBL082C|gene=ALG3
chrII	71866	72972	W	ID=YBL081W|Name=YBL081W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	73070	74695	C	ID=YBL080C|Name=YBL080C|gene=PET112
chrII	75259	79767	W	ID=YBL079W|Name=YBL079W|gene=NUP170
chrII	80378	80731	C	ID=YBL078C|Name=YBL078C|gene=ATG8
chrII	80897	81328	W	ID=YBL077W|Name=YBL077W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	81043	84261	C	ID=YBL076C|Name=YBL076C|gene=ILS1
chrII	84499	86448	C	ID=YBL075C|Name=YBL075C|gene=SSA3
chrII	86722	87789	C	ID=YBL074C|Name=YBL074C|gene=AAR2
chrII	87646	87957	W	ID=YBL073W|Name=YBL073W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	88523	89440	C	ID=YBL072C|Name=YBL072C|gene=RPS8A
chrII	89458	89556	C	ID=YBL071C-B|Name=YBL071C-B|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	89978	90226	W	ID=YBL071W-A|Name=YBL071W-A|gene=KTI11
chrII	90223	90531	C	ID=YBL071C|Name=YBL071C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	90605	90925	C	ID=YBL070C|Name=YBL070C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	90741	92030	W	ID=YBL069W|Name=YBL069W|gene=AST1
chrII	91794	92030	W	ID=YBL068W-A|Name=YBL068W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	92414	93394	W	ID=YBL068W|Name=YBL068W|gene=PRS4
chrII	93639	95882	C	ID=YBL067C|Name=YBL067C|gene=UBP13
chrII	96669	100115	C	ID=YBL066C|Name=YBL066C|gene=SEF1
chrII	99963	100307	W	ID=YBL065W|Name=YBL065W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	100371	101156	C	ID=YBL064C|Name=YBL064C|gene=PRX1
chrII	101886	105221	W	ID=YBL063W|Name=YBL063W|gene=KIP1
chrII	105308	105688	W	ID=YBL062W|Name=YBL062W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	105316	107406	C	ID=YBL061C|Name=YBL061C|gene=SKT5
chrII	107932	109995	W	ID=YBL060W|Name=YBL060W|gene=YEL1
chrII	110125	110539	C	ID=YBL059C-A|Name=YBL059C-A|gene=CMC2
chrII	110594	111244	W	ID=YBL059W|Name=YBL059W|Ontology_term=GO:0003674,GO:0005739,GO:0008150
chrII	111437	112708	W	ID=YBL058W|Name=YBL058W|gene=SHP1
chrII	112801	113427	C	ID=YBL057C|Name=YBL057C|gene=PTH2
chrII	113762	115168	W	ID=YBL056W|Name=YBL056W|gene=PTC3
chrII	115573	116829	C	ID=YBL055C|Name=YBL055C|Alias=Tat-D
chrII	117589	119166	W	ID=YBL054W|Name=YBL054W|gene=TOD6
chrII	119335	119709	W	ID=YBL053W|Name=YBL053W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	119379	121874	C	ID=YBL052C|Name=YBL052C|gene=SAS3
chrII	122753	124759	C	ID=YBL051C|Name=YBL051C|gene=PIN4
chrII	125125	126119	W	ID=YBL050W|Name=YBL050W|gene=SEC17
chrII	126828	127244	W	ID=YBL049W|Name=YBL049W|gene=MOH1
chrII	127299	127610	W	ID=YBL048W|Name=YBL048W|gene=RRT1
chrII	127895	132040	C	ID=YBL047C|Name=YBL047C|gene=EDE1
chrII	132424	133749	W	ID=YBL046W|Name=YBL046W|gene=PSY4
chrII	134143	135516	C	ID=YBL045C|Name=YBL045C|gene=COR1
chrII	135998	136366	W	ID=YBL044W|Name=YBL044W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	136688	137461	W	ID=YBL043W|Name=YBL043W|gene=ECM13
chrII	138341	140260	C	ID=YBL042C|Name=YBL042C|gene=FUI1
chrII	141247	141972	W	ID=YBL041W|Name=YBL041W|gene=PRE7
chrII	142112	142868	C	ID=YBL040C|Name=YBL040C|gene=ERD2
chrII	143393	143572	W	ID=YBL039W-B|Name=YBL039W-B|Alias=YBL039W-A
chrII	143989	145728	C	ID=YBL039C|Name=YBL039C|gene=URA7
chrII	144948	145031	C	ID=YBL039C-A|Name=YBL039C-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	146187	146885	W	ID=YBL038W|Name=YBL038W|gene=MRPL16
chrII	147209	150286	W	ID=YBL037W|Name=YBL037W|gene=APL3
chrII	150447	151220	C	ID=YBL036C|Name=YBL036C|Ontology_term=GO:0005575,GO:0008150,GO:0030170
chrII	151493	153610	C	ID=YBL035C|Name=YBL035C|gene=POL12
chrII	153848	158389	C	ID=YBL034C|Name=YBL034C|gene=STU1
chrII	158656	159693	C	ID=YBL033C|Name=YBL033C|gene=RIB1
chrII	160184	161329	W	ID=YBL032W|Name=YBL032W|gene=HEK2
chrII	161699	162715	W	ID=YBL031W|Name=YBL031W|gene=SHE1
chrII	163041	163997	C	ID=YBL030C|Name=YBL030C|gene=PET9
chrII	164488	164772	C	ID=YBL029C-A|Name=YBL029C-A|Ontology_term=GO:0003674,GO:0005886,GO:0008150
chrII	166134	167264	W	ID=YBL029W|Name=YBL029W|Ontology_term=GO:0003674,GO:0005634,GO:0005737,GO:0008150
chrII	167518	167838	C	ID=YBL028C|Name=YBL028C|Ontology_term=GO:0003674,GO:0005634,GO:0005730,GO:0005840,GO:0008150,GO:0030687
chrII	168423	169376	W	ID=YBL027W|Name=YBL027W|gene=RPL19B
chrII	170623	171038	W	ID=YBL026W|Name=YBL026W|gene=LSM2
chrII	171481	171918	W	ID=YBL025W|Name=YBL025W|gene=RRN10
chrII	172534	174588	W	ID=YBL024W|Name=YBL024W|gene=NCL1
chrII	174920	177526	C	ID=YBL023C|Name=YBL023C|gene=MCM2
chrII	177874	181275	C	ID=YBL022C|Name=YBL022C|gene=PIM1
chrII	181660	182094	C	ID=YBL021C|Name=YBL021C|gene=HAP3
chrII	182401	184125	W	ID=YBL020W|Name=YBL020W|gene=RFT1
chrII	184353	185915	W	ID=YBL019W|Name=YBL019W|gene=APN2
chrII	185998	186474	C	ID=YBL018C|Name=YBL018C|gene=POP8
chrII	186844	191583	C	ID=YBL017C|Name=YBL017C|gene=PEP1
chrII	192451	193512	W	ID=YBL016W|Name=YBL016W|gene=FUS3
chrII	194122	195702	W	ID=YBL015W|Name=YBL015W|gene=ACH1
chrII	199064	201748	C	ID=YBL014C|Name=YBL014C|gene=RRN6
chrII	202056	203261	W	ID=YBL013W|Name=YBL013W|gene=FMT1
chrII	203406	203807	C	ID=YBL012C|Name=YBL012C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	203538	205817	W	ID=YBL011W|Name=YBL011W|gene=SCT1
chrII	206107	206949	C	ID=YBL010C|Name=YBL010C|Ontology_term=GO:0003674,GO:0008150,GO:0030136
chrII	207194	209224	W	ID=YBL009W|Name=YBL009W|gene=ALK2
chrII	209409	209648	W	ID=YBL008W-A|Name=YBL008W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	209653	212175	W	ID=YBL008W|Name=YBL008W|gene=HIR1
chrII	212632	216366	C	ID=YBL007C|Name=YBL007C|gene=SLA1
chrII	216587	217129	C	ID=YBL006C|Name=YBL006C|gene=LDB7
chrII	216711	216860	W	ID=YBL006W-A|Name=YBL006W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	217470	220400	W	ID=YBL005W|Name=YBL005W|gene=PDR3
chrII	227636	235117	W	ID=YBL004W|Name=YBL004W|gene=UTP20
chrII	235394	235792	C	ID=YBL003C|Name=YBL003C|gene=HTA2
chrII	236492	236887	W	ID=YBL002W|Name=YBL002W|gene=HTB2
chrII	237153	237467	C	ID=YBL001C|Name=YBL001C|gene=ECM15
chrII	238941	241283	C	ID=YBR001C|Name=YBR001C|gene=NTH2
chrII	241708	242568	C	ID=YBR002C|Name=YBR002C|gene=RER2
chrII	242809	244230	W	ID=YBR003W|Name=YBR003W|gene=COQ1
chrII	244366	245667	C	ID=YBR004C|Name=YBR004C|gene=GPI18
chrII	245906	246547	W	ID=YBR005W|Name=YBR005W|gene=RCR1
chrII	247010	248503	W	ID=YBR006W|Name=YBR006W|gene=UGA2
chrII	248806	251016	C	ID=YBR007C|Name=YBR007C|gene=DSF2
chrII	252563	254209	C	ID=YBR008C|Name=YBR008C|gene=FLR1
chrII	255373	255684	C	ID=YBR009C|Name=YBR009C|gene=HHF1
chrII	256331	256741	W	ID=YBR010W|Name=YBR010W|gene=HHT1
chrII	257112	257975	C	ID=YBR011C|Name=YBR011C|gene=IPP1
chrII	259147	259566	C	ID=YBR012C|Name=YBR012C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	265492	265881	C	ID=YBR013C|Name=YBR013C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	266725	267336	C	ID=YBR014C|Name=YBR014C|gene=GRX7
chrII	267710	269503	C	ID=YBR015C|Name=YBR015C|gene=MNN2
chrII	270247	270633	W	ID=YBR016W|Name=YBR016W|Ontology_term=GO:0003674,GO:0005886,GO:0008150,GO:0033101,GO:0070250
chrII	270947	273703	C	ID=YBR017C|Name=YBR017C|gene=KAP104
chrII	274427	275527	C	ID=YBR018C|Name=YBR018C|gene=GAL7
chrII	276253	278352	C	ID=YBR019C|Name=YBR019C|gene=GAL10
chrII	279021	280607	W	ID=YBR020W|Name=YBR020W|gene=GAL1
chrII	281443	283344	W	ID=YBR021W|Name=YBR021W|gene=FUR4
chrII	283738	284271	W	ID=YBR022W|Name=YBR022W|gene=POA1
chrII	284428	287925	C	ID=YBR023C|Name=YBR023C|gene=CHS3
chrII	289445	290350	W	ID=YBR024W|Name=YBR024W|gene=SCO2
chrII	290681	291865	C	ID=YBR025C|Name=YBR025C|gene=OLA1
chrII	292877	294019	C	ID=YBR026C|Name=YBR026C|gene=ETR1
chrII	294024	294356	C	ID=YBR027C|Name=YBR027C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	294425	296002	C	ID=YBR028C|Name=YBR028C|gene=YPK3
chrII	296369	297742	C	ID=YBR029C|Name=YBR029C|gene=CDS1
chrII	298292	299950	W	ID=YBR030W|Name=YBR030W|gene=RKM3
chrII	300166	301254	W	ID=YBR031W|Name=YBR031W|gene=RPL4A
chrII	301519	301821	W	ID=YBR032W|Name=YBR032W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	301944	304703	W	ID=YBR033W|Name=YBR033W|gene=EDS1
chrII	304930	305976	C	ID=YBR034C|Name=YBR034C|gene=HMT1
chrII	306269	306955	C	ID=YBR035C|Name=YBR035C|gene=PDX3
chrII	309081	310313	C	ID=YBR036C|Name=YBR036C|gene=CSG2
chrII	310565	311452	C	ID=YBR037C|Name=YBR037C|gene=SCO1
chrII	311898	314789	W	ID=YBR038W|Name=YBR038W|gene=CHS2
chrII	315575	316510	W	ID=YBR039W|Name=YBR039W|gene=ATP3
chrII	316968	317864	W	ID=YBR040W|Name=YBR040W|gene=FIG1
chrII	318266	320275	W	ID=YBR041W|Name=YBR041W|gene=FAT1
chrII	320416	321609	C	ID=YBR042C|Name=YBR042C|gene=CST26
chrII	321876	323945	C	ID=YBR043C|Name=YBR043C|gene=QDR3
chrII	324341	326059	C	ID=YBR044C|Name=YBR044C|gene=TCM62
chrII	328173	330092	C	ID=YBR045C|Name=YBR045C|gene=GIP1
chrII	330507	331511	C	ID=YBR046C|Name=YBR046C|gene=ZTA1
chrII	331833	332360	W	ID=YBR047W|Name=YBR047W|gene=FMP23
chrII	332831	333812	W	ID=YBR048W|Name=YBR048W|gene=RPS11B
chrII	334386	336818	C	ID=YBR049C|Name=YBR049C|gene=REB1
chrII	337183	338199	C	ID=YBR050C|Name=YBR050C|gene=REG2
chrII	337988	338338	W	ID=YBR051W|Name=YBR051W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	338720	339352	C	ID=YBR052C|Name=YBR052C|gene=RFS1
chrII	339675	340751	C	ID=YBR053C|Name=YBR053C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	343101	344135	W	ID=YBR054W|Name=YBR054W|gene=YRO2
chrII	344602	347301	C	ID=YBR055C|Name=YBR055C|gene=PRP6
chrII	347879	349384	W	ID=YBR056W|Name=YBR056W|Ontology_term=GO:0003674,GO:0005737,GO:0005758,GO:0008150
chrII	351255	351455	W	ID=YBR056W-A|Name=YBR056W-A|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	351293	351451	C	ID=YBR056C-B|Name=YBR056C-B|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	352193	353293	C	ID=YBR057C|Name=YBR057C|gene=MUM2
chrII	353672	356017	C	ID=YBR058C|Name=YBR058C|gene=UBP14
chrII	356324	356566	C	ID=YBR058C-A|Name=YBR058C-A|gene=TSC3
chrII	356861	360187	C	ID=YBR059C|Name=YBR059C|gene=AKL1
chrII	360652	362514	C	ID=YBR060C|Name=YBR060C|gene=ORC2
chrII	364787	365719	C	ID=YBR061C|Name=YBR061C|gene=TRM7
chrII	365976	366600	C	ID=YBR062C|Name=YBR062C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	366970	368184	C	ID=YBR063C|Name=YBR063C|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	367763	368191	W	ID=YBR064W|Name=YBR064W|Ontology_term=GO:0003674,GO:0005575,GO:0008150
chrII	368584	369678	C	ID=YBR065C|Name=YBR065C|gene=ECM2
chrII	370037	370699	C	ID=YBR066C|Name=YBR066C|gene=NRG2
chrII	372103	372735	C	ID=YBR067C|Name=YBR067C|gene=TIP1
chrII	373861	375690	C	ID=YBR068C|Name=YBR068C|gene=BAP2
chrII	376574	378433	C	ID=YBR069C|Name=YBR069C|gene=TAT1
chrII	379221	379934	C	ID=YBR070C|Name=YBR070C|gene=ALG14
